Topic,Study ,Journal,Year,Latest IF
5,Briechle,International Journal of Applied Earth Observation and Geoinformation,2021,4.65
5,Yifang,International Journal of Applied Earth Observation and Geoinformation,2021,4.65
4,Lastovicka,Remote Sensing,2021,4.5
1,Ali,Remote Sensing Applications,2021,0
1,Hoeppner,Remote Sensing,2020,4.5
3,Oeser,Ecological Applications,2020,4.24
1,Xie,International Journal of Applied Earth Observation and Geoinformation,2020,4.65
5,Neinavaz,International Journal of Applied Earth Observation and Geoinformation,2020,4.65
1,Ali,International Journal of Digital Earth,2020,3.09
1,Ali,Remote Sensing,2020,4.5
1,Ali,International Journal of Applied Earth Observation and Geoinformation,2020,4.65
5,Krzystek,Remote Sensing,2020,4.65
1,Zhu,Remote Sensing of Environment,2020,9.08
5,Senf,Remote Sensing of Environment,2020,9.08
5,Shi,International Journal of Applied Earth Observation and Geoinformation,2020,4.65
9,Boutsoukis,Remote Sensing,2019,4.5
5,Amiri,Remote Sensing,2019,4.5
1,Gara,International Journal of Applied Earth Observation and Geoinformation,2019,4.65
1,Gara,ISPRS Journal of Photogrammetry and Remote Sensing,2019,7.26
3,Oeser,Remote Sensing in Ecology and Conservation ,2019,5
1,Liu,ISPRS Journal of Photogrammetry and Remote Sensing,2019,7.26
4,Abdullah,International Journal of Applied Earth Observations and Geoinformation ,2019,4.65
1,Meyer,Remote Sensing,2019,4.5
1,Darvishzadeh,International Journal of Applied Earth Observations and Geoinformation ,2019,4.65
4,Abdullah,Remote Sensing,2019,4.5
1,Liu,ISPRS Journal of Photogrammetry and Remote Sensing,2019,7.26
8,Zielewska-Büttner,Remote Sensing,2018,4.5
7,Misra,Remote Sensing of Environment ,2018,9.08
1,Zhu,Agricultural and Forest Meteorology,2018,4.65
8,Kortmann,Biological Conservation ,2018,4.71
5,Shi,International Journal of Applied Earth Observation and Geoinformation,2018,4.65
9,Liu,ISPRS Journal of Photogrammetry and Remote Sensing,2018,7.26
2,Amiri,ISPRS Journal of Photogrammetry and Remote Sensing,2018,7.26
5,Silveyra Gonzalez,International Journal of Remote Sensing,2018,2.97
2,Polewski,ISPRS Journal of Photogrammetry and Remote Sensing,2018,7.26
7,Latifi,GIScience & Remote Sensing,2018,5.96
4,Tanase,Remote Sensing of Environment,2018,9.08
5,Shi,ISPRS Journal of Photogrammetry and Remote Sensing,2018,7.26
4,Roeder,International Journal of Remote Sensing,2018,2.97
3,Ciuti ,Methods in Ecology and Evolution,2018,6.51
4,Abdullah,International Journal of Applied Earth Observation and Geoinformation,2018,4.65
3,Kortmann,Animal Conservation,2018,3.21
4,Seibold,Ecology,2017,4.7
1,Liu,ISPRS Journal of Photogrammetry and Remote Sensing,2017,7.26
4,Oeser,Forests,2017,2.22
10,Aryal ,PFG,2017,1.39
2,Polewski,ISPRS Journal of Photogrammetry and Remote Sensing,2017,7.26
7,Vrieling,International Journal of Applied Earth Observation and Geoinformation,2017,4.65
2,Hill,Ecological Informatics ,2017,2.51
7,Senf,Remote Sensing of Environment ,2018,9.08
4,Latifi,Forestry,2017,2.29
1,Wang,International Journal of Applied Earth Observation and Geoinformation,2018,4.65
3,Dupke,Ecography,2017,6.45
1,Wang ,Remote Sensing,2016,4.5
4,Amiri,International Journal of Applied Earth Observation and Geoinformation,2018,4.65
2,Polewski,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2016,3.82
1,Ali,International Journal of Applied Earth Observation and Geoinformation,2017,4.65
4,Latifi,Forestry,2016,2.29
9,Latifi,International Journal of Applied Earth Observation and Geoinformation,2017,4.65
1,Wang,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2015,3.82
2,Polewski,ISPRS Journal of Photogrammetry and Remote Sensing,2015,7.26
8,Werner,Canadian Journal of Forest Research,2015,1.81
3,Ewald,Forestry,2014,2.29
2,Nielsen ,Journal of Forestry,2014,2.34
3,Cailleret,Forest Ecology and Management ,2014,3.17
2,Yao ,Forests,2014,2.22
3,Debeffe ,Oecologia ,2014,2.65
3,Belotti ,European Journal of Wildlife Research,2014,1.38
4,Latifi,Environmental Monitoring and Assessment ,2014,1.9
4,Latifi,Progress in Physical Geography,2014,3.48
